TRIAL,CONVERSATION
1,"hi, in which colors is available the canon model?"
1,this only comes in black. which type of camera are you looking for?
1,something that's light and attractive. 
1,"we have a very lightweight camera that has a lot of presets, please come and have a look at this nikon here"
1,I want good lighting and loss of motion I guess
1,"It is very lightweight, 120 grams, and it has 18 preset modes"
1,that sounds great how much does this cost?
1,"$68 and it gets very high-resolution photographs too, it's right value for the price"
1,how many megapixels
1,20.1 megapixels
2,good afternoon how can I help
2,how does this canon camera perform on low lighting?
2,"this one is the best camera for low light. It has 6400 ISO, and it has silent shooting. It has little noise."
2,that sounds great what about the price?
2,"it is a high end professional camera, the body itself is $68"
2,"I see, do you have anything in this type that's more reasonably priced?"
2,"yes of course, come and have a look at the Sony it cost $550"
3,good afternoon can you tell me more about this canon model?
3,"this is a high-end professional model you see, the body alone costs 2000. It is the only one with silent mode."
3,how much does it weight?
3,around 950 grams 
3,I see does it perform well with a lot of motion?
3,"that's one of its strong points, it captures 3,9 frames per second."
3,great sounds like a great camera. What about the resolution?
3,it has 20 megapixels. What type of pictures do you like?
3,I like taking pictures of different stuff so it sounds like a well-rounded camera that might suit my needs
3,"We have other cameras at much lower price. The canon 1000D, for example, is very good as well and it only costs 400 dollars "
5,excuse me
5,good afternoon how can I help
5,In how many colors does this nikon model come in?
5,this comes in 5 colors we have purple pink black silver and red color in stock now
5,I see how much does it cost?
5,it's only $68
5,is it powerful? how many megapixels can it shoot?
5,20 megapixels so if you want to make big pictures you'll get a nice shot
5,does it have any preset mode ready to use?
5,this camera is built around preset modes it has a 18 options. you can say what type of location you're in and it will give you the best result for that location 
5,is it hard to operate?
5,it's a point-and-shoot camera so you have a small zoom control and a switch between still and video but otherwise it's very simple. It also has autofocus
5,thank you for your information
5,thank you for your time have a good afternoon
6,good afternoon how can I help?
6,can you tell me more about the sony Alpha a6000 camera?
6,"yes it does so many things, it does a fantastic job in low-light, it does a great job with movement."
6,sounds good how high does the iso go?
6,it goes up to 3200 you can work in very low light conditions with very little noise you can actually produce a very clear picture in the evening
6,what is its exposure?
6,it will give you a long exposure up to 30 seconds
